hpi_0,hpi_0_5,hpi_2,hpi_6,hpi_18,log2_fold_change_6hpi,log10_abundance_6hpi,hsf1_target
CKS2,574.585883470605,568.097031984508,801.348072807672,1176.99037508666,832.350999043393,1.03450806866746,2.91506393167466,unknown
PARD6B,52.4440758630413,43.3857498113595,52.1477588148128,137.211709661174,291.461814271024,1.38755188770759,1.9285438063172,unknown
MPHOSPH10,1170.53826965,1123.76173648437,1556.13939613373,2355.10383306407,1773.70647245231,1.0086185647615,3.22019783820357,unknown
HIST1H4B,1.04939144816225,0.451879948421009,8.6616480435825,85.0526976014014,218.649875267021,6.34073215106317,0.975312806637974,unknown
BTN2A3P,26.7470054894679,15.9269398010442,31.6472274656734,66.910434476324,57.4242399629891,1.32285383130302,1.62638450838647,unknown
HIST1H3B,4.33009126235446,0.451879948421009,2.4489766976346,20.4209151656614,83.4281164553273,2.23757818513278,0.973286125459999,unknown
INSIG2,51.3505843286539,57.3647488492671,54.632670382321,128.140576817458,353.872077254248,1.31927479137111,1.90911603224892,unknown
CCDC93,434.07233838028,382.875462498176,429.232842554346,891.24967133528,1638.48413566496,1.03789415095407,2.79378074682518,unknown
EIF2C3,68.2996998354718,50.3752502038868,89.4214215308229,142.881167728262,182.243932722599,1.06486463310297,1.99469689298479,unknown
FLRT1,4.87687618791312,6.94029022971442,6.79790951959197,23.8225821905333,62.624987895832,2.28830054766342,1.0325652820159,unknown
WNK4,8.15749085231033,13.4306678889075,10.5253683784863,44.2326098972925,125.034678655622,2.43891299979428,1.27864958032522,unknown
ATG14,137.189625362755,118.273209567975,148.438036600479,293.688757224196,359.072933254064,1.09811665326088,2.30260429581601,unknown
HNRNPH2,317.61558612316,347.927996318759,564.039195110601,674.676360344322,697.128677106813,1.08691390227218,2.66549864974545,unknown
ZNF484,13.0782895766548,15.9269398010442,18.6014058136221,45.3665009134507,73.0265305585394,1.79445351732629,1.38664311645752,unknown
ZNF780B,14.1717923969931,18.9224580371076,40.9656540108071,30.625921480192,93.8297313926769,1.11173101628713,1.31875697322121,unknown
LIF,30.0274863560412,33.4007441029893,6.79790951959197,61.2409777072178,208.248174834382,1.0282136056521,1.63228054693203,unknown
TWSG1,75.4073919785066,90.8144806878736,126.073846683307,162.157325337335,88.6289209244139,1.10461633899649,2.04367524651517,unknown
LDLR,430.791866500248,472.740375113117,512.477318402106,996.701597697746,1269.22314307898,1.21017062951657,2.81641632475103,unknown
APOE,28.3872461759222,31.4037418080986,49.6628470633944,69.1782172588433,223.850726109976,1.28507493439619,1.64654631497303,unknown
ATP8B3,21.8262792955795,16.4261933464108,20.4650980548929,48.7681741457092,73.0265305585394,1.15987374317603,1.51355810220388,unknown
H19,14.7185431684175,11.4336433398254,17.3589431845097,38.5631553956632,57.4242399629891,1.38958822215885,1.37701869419626,unknown
ZNF337,14.7185431684175,20.4202149309715,21.08632842511,46.5003919617142,78.2273191638699,1.65960799558703,1.41766071980839,unknown
POMT1,26.7470054894679,29.4067389517059,38.4807409694746,167.826783501201,223.850726109976,2.64952368799432,1.82606821899013,unknown
CCDC62,10.8912771887783,14.4291775984728,9.28288969388255,63.5087603799319,57.4242399629891,2.54378246586875,1.4199562235433,unknown
AKAP12,47.5233636300623,45.3827501479428,81.3454626001627,121.337227245141,31.4210316057832,1.35231339232444,1.88045061906558,unknown
SLC6A6,117.506791506833,107.788967986158,91.285104301174,271.010923910478,442.286639621836,1.20560686267665,2.25152488245065,unknown
AOC3,16.3587934100226,8.43808572875656,19.8438675075502,70.3121086640951,125.034678655622,2.10370681956455,1.53039069526071,unknown
AOC2,13.6250412156227,14.9284319514869,12.3890780665321,37.4292646353383,161.440551506487,1.45790611016386,1.35377455969799,unknown
NPHP4,51.3505843286539,50.8745001566886,52.1477588148128,123.605010429523,161.440551506487,1.26728462677593,1.90129073273759,unknown
KIAA0664L3,13.0782895766548,8.43808572875656,13.6315472847274,39.6970462079059,41.8221574982693,1.60185779019838,1.35765457100641,unknown
DNAJB1,1166.71105249778,1309.48255377311,1620.74704844328,2436.74403421277,6111.2230549899,1.06250740467531,3.22688661176024,yes
LPIN3,12.5315374248102,17.9239527041673,17.3589431845097,28.3581411530984,47.0228160862987,1.17819954673539,1.27534105766615,unknown
SRRM1,864.907642598171,737.841865672004,1211.35817457276,1948.0367190247,2819.07916501363,1.17140288055752,3.11328343671607,unknown
PDZD2,3.78329853829677,5.44247407105259,3.69158373671004,29.4920312594228,26.2206361717976,2.96260866286116,1.0237876490845,yes
ZNF767,27.2937524466695,19.9209627663715,49.0416190935778,57.8393037990236,99.0305469261599,1.08347943160905,1.59914315249613,unknown
ATP13A3,1192.40808194755,1276.53208619594,1896.57202556787,3195.31756992819,3432.78055144824,1.42208126320407,3.29046946919583,unknown
CD101,13.0782895766548,11.4336433398254,8.04040443632226,34.027592716847,26.2206361717976,1.37953121881352,1.32419108759643,unknown
FKBP11,50.2570927548159,47.8790003032657,51.526530895224,139.479492884636,364.273789346419,1.47265390142865,1.92285386093113,unknown
FST,7.063965120222,5.94174916275404,11.1466058826923,20.4209151656614,31.4210316057832,1.53149739769501,1.07956187365041,unknown
EMP1,40.9624123468631,40.3902488884429,60.2237208532414,108.864419865383,156.239708507467,1.41015992964206,1.8246357438222,unknown
SYNCRIP,1767.03739974122,1890.60898168619,2948.93128479934,3686.29266855609,2569.43792376569,1.06083804129314,3.40691777702908,unknown
CGA,9.7977662665417,22.9164740874938,28.5410831416416,37.4292646353383,1,1.93364192368565,1.28216918475715,unknown
MICAL1,13.0782895766548,18.9224580371076,10.5253683784863,32.8937022186176,67.8257526020168,1.33063752146927,1.31683185284666,unknown
TEC,36.5884433431094,51.8730000370378,38.4807409694746,109.998311434811,135.436348891768,1.58802143478316,1.80236497561584,unknown
FBXL8,7.063965120222,11.4336433398254,8.04040443632226,21.5548039006238,41.8221574982693,1.60945931283993,1.09129631113942,unknown
SLC9A5,5.97042870004762,6.94029022971442,12.3890780665321,23.8225821905333,57.4242399629891,1.99642336763006,1.07649717513583,unknown
DHX9,2153.03958638411,2399.34423064432,3890.09083463105,4740.81193354279,2449.81816253297,1.13875931741862,3.50445237114834,unknown
RC3H1,306.68067973139,322.466270875534,427.990387688508,825.483953837454,1284.82572006592,1.4285028890268,2.70169752640655,unknown
CHRND,22.3730270358397,17.9239527041673,30.4047699081097,87.3204806023531,47.0228160862987,1.96455960678266,1.64542043239719,unknown
DOCK10,33.3079654887654,35.39774592895,24.1924780807749,117.935552481582,67.8257526020168,1.82405955483043,1.7970964259436,unknown
VPS36,200.612086258727,221.118617408724,317.41190416552,416.149057764289,327.867798796871,1.05269184413613,2.46080300501199,unknown
LMO7,1321.43997447846,1429.80168536248,1728.84062056716,2978.74425852947,5939.59470011842,1.17259337263561,3.29754032932126,unknown
TTC5,49.163601138939,44.8835000826482,58.3600374394806,99.7932874022358,62.624987895832,1.02135218170165,1.84537250802703,unknown
ST6GALNAC4,20.1860353170197,27.9089863708005,27.2986249662098,45.3665009134507,26.2206361717976,1.1682698071411,1.48089315623847,unknown
HIST1H2AB,0.504048721967425,1,3.07028853412098,30.625921480192,47.0228160862987,5.92504624956625,0.594280841319519,unknown
SLC22A23,48.6168553143644,56.3662491255052,53.3902146199733,100.927178950357,171.842240436885,1.05378625036973,1.84539749912146,unknown
MAPKBP1,68.8464454078199,83.8249854490009,86.3152835332482,166.69289186707,145.838025960667,1.27573851210862,2.0298993016152,unknown
IFI44,20.1860353170197,28.4082372771364,18.6014058136221,43.0987189157385,67.8257526020168,1.09428740390667,1.46975769497604,unknown
STAMBPL1,337.298417585751,424.313172265281,340.397319374954,704.157544023695,244.654133040483,1.06187269493096,2.6878420701042,unknown
DNA2,86.8890474357737,105.292719934789,134.149804252812,224.521365833736,93.8297313926769,1.36960650221897,2.14511135579276,unknown
MYPN,273.329215107734,313.479779522009,456.566849582418,754.048777955982,894.761303365802,1.46401817943973,2.65704274734357,unknown
C4orf21,90.1695202371692,81.3287370617598,119.240344015354,218.85190755838,359.072933254064,1.27924320822492,2.14760504765338,unknown
CCNG2,18.5457899784796,11.9329002405815,8.04040443632226,44.2326098972925,187.444779950173,1.25401864706398,1.45699395125756,unknown
ANXA3,379.397806954283,478.731369271888,708.16395862063,896.919129741006,489.094355665768,1.24126657162539,2.76592405153023,unknown
MAPK8IP3,63.3789894805524,60.3602478820799,63.3298597291591,189.370724660243,463.090068546257,1.57913675528408,2.0396290757831,unknown
SLCO1C1,7.61072908033152,6.94029022971442,4.93413639868277,26.0903613420454,21.0204552697655,1.77741035466607,1.14895317828387,unknown
CLSTN3,106.025137944098,107.289718377772,148.438036600479,258.538115613563,494.295213204706,1.28597062910728,2.21896671262341,unknown
VAMP1,15.2652935711837,8.43808572875656,35.3745990219944,32.8937022186176,21.0204552697655,1.1075560593728,1.35040895863047,unknown
RBP5,8.70425079324966,9.43660873823229,14.8740142356305,21.5548039006238,47.0228160862987,1.30821740706756,1.13663773593365,unknown
DUSP6,88.5292838453058,123.764955029991,186.954140006004,195.04018288984,67.8257526020168,1.139544727874,2.11860552326849,unknown
